NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;35;SP;3547908;Santo Antônio da Alegria;35023036;MACARIO DE ALMEIDA CONEGO;2;1;76;0;44;57,89;456,88;536,73;472,45;457,97;498,18;NA;NA;Grupo 3;70,5;95,45;88,6;8,3;3,1;De 61 a 90 alunos
2015;35;SP;3516200;Franca;35023127;TORQUATO CALEIRO;2;1;311;6;204;65,59;475,98;547,72;513,24;462,78;548,43;NA;NA;Grupo 4;80,9;61,27;76,9;16,6;6,5;Maior que 90 alunos
2015;35;SP;3525409;Jeriquara;35023139;OLIVIO PEIXOTO PROF;2;1;39;0;24;61,54;447,61;524,74;470,47;416,65;440,83;NA;NA;Grupo 2;73,9;75,00;94,2;2,2;3,6;De 31 a 60 alunos
2015;35;SP;3537008;Pedregulho;35023140;JOSE RIBEIRO DE BARROS PROF;2;2;17;0;10;58,82;457,86;569,00;500,02;486,41;476,00;NA;NA;Grupo 3;72,2;70,00;95,2;1,6;3,2;De 1 a 30 alunos
2015;35;SP;3516200;Franca;35023176;MARIO D ELIA;2;1;182;0;160;87,91;482,19;563,91;517,49;493,16;591,25;NA;NA;Grupo 5;86,4;76,88;98,1;1,7;0,2;Maior que 90 alunos
2015;35;SP;3516200;Franca;35023197;CARMELINO CORREA JR PROF ETEC;2;1;66;0;51;77,27;471,28;518,57;467,33;434,15;483,14;NA;NA;Grupo 4;63,8;74,51;92,7;3,2;4,1;De 61 a 90 alunos
2015;35;SP;3503000;Aramina;35023334;FABIO JOSE DE ARAUJO;2;1;48;0;25;52,08;493,77;539,26;499,78;455,14;540,80;NA;NA;Grupo 4;69,4;80,00;97,6;0,0;2,4;De 31 a 60 alunos
2015;35;SP;3524105;Ituverava;35023383;ANTONIO JUSTINO FALLEIROS CAPITAO;2;1;229;1;127;55,46;446,83;526,60;467,32;423,45;486,93;NA;NA;Grupo 3;56,7;90,55;81,5;10,5;8,0;Maior que 90 alunos
2015;35;SP;3520103;Igarapava;35023437;ANTONIO JUNQUEIRA DA VEIGA ETEC;2;2;90;0;74;82,22;489,76;559,63;499,79;455,54;520,54;NA;NA;Grupo 3;69,4;72,97;91,3;7,0;1,7;De 61 a 90 alunos
2015;35;SP;3529708;Miguelópolis;35023449;LAURINDO ALVES QUEIROZ ETEC;2;2;70;0;54;77,14;470,04;525,22;484,58;444,45;489,63;NA;NA;Grupo 3;67,7;92,59;97,5;1,1;1,4;De 61 a 90 alunos
2015;35;SP;3549904;São José dos Campos;35023462;ESTEVAM FERRI PROFESSOR;2;1;401;10;265;66,08;470,01;552,68;516,81;467,42;528,75;NA;NA;Grupo 4;69,5;67,92;77,0;21,2;1,8;Maior que 90 alunos
2015;35;SP;3524303;Jaboticabal;35023541;JOAQUIM BATISTA DOUTOR;2;1;118;0;61;51,69;471,42;552,76;502,90;442,97;515,08;NA;NA;Grupo 4;65,2;86,89;82,4;10,8;6,8;Maior que 90 alunos
2015;35;SP;3551702;Sertãozinho;35023553;BRUNO PIERONI PROFESSOR;2;1;118;0;79;66,95;462,87;547,48;506,65;463,71;493,67;NA;NA;Grupo 4;75,1;78,48;94,6;5,4;0,0;Maior que 90 alunos
2015;35;SP;3551702;Sertãozinho;35023607;WINSTON CHURCHILL;2;1;57;0;40;70,18;482,95;542,83;493,67;462,21;551,50;NA;NA;Grupo 3;86,4;72,50;91,6;8,4;0,0;De 31 a 60 alunos
2015;35;SP;3505609;Barrinha;35023619;JOSE LUIZ DE SIQUEIRA PROFESSOR;2;1;265;0;147;55,47;458,06;538,34;487,99;459,38;514,01;NA;NA;Grupo 3;70,7;93,88;94,4;5,3;0,3;Maior que 90 alunos
2015;35;SP;3551702;Sertãozinho;35023620;ANTONIO FURLAN JUNIOR DOUTOR;2;1;218;0;155;71,10;459,19;540,43;496,16;451,58;545,03;NA;NA;Grupo 4;81,2;63,87;90,2;6,6;3,2;Maior que 90 alunos
2015;35;SP;3531308;Monte Alto;35023668;JEREMIAS DE PAULA EDUARDO;2;1;81;0;48;59,26;469,27;544,59;500,42;461,61;534,17;NA;NA;Grupo 4;67,0;77,08;88,5;5,2;6,3;De 61 a 90 alunos
2015;35;SP;3524303;Jaboticabal;35023735;ROSA MARI DE SOUZA SIMIELLI PROFESSORA;2;1;41;0;24;58,54;455,83;542,64;504,04;436,73;543,33;NA;NA;Grupo 3;57,1;87,50;87,3;10,4;2,3;De 31 a 60 alunos
2015;35;SP;3543402;Ribeirão Preto;35023826;BARROS CONEGO;2;1;190;0;132;69,47;481,35;561,89;520,80;463,51;524,39;NA;NA;Grupo 4;65,1;73,48;90,6;5,8;3,6;Maior que 90 alunos
2015;35;SP;3507803;Brodowski;35023838;JOSE ALEIXO DA SILVA PASSOS CORONEL;2;1;161;0;82;50,93;461,66;533,08;496,92;454,42;526,59;NA;NA;Grupo 4;72,7;89,02;93,6;4,7;1,7;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35023851;ALBERTO SANTOS DUMONT;2;1;153;0;107;69,93;483,53;548,79;510,15;459,65;508,41;NA;NA;Grupo 5;80,1;88,79;88,0;8,9;3,1;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35023887;WALTER FERREIRA PROFESSOR;2;1;81;0;56;69,14;486,07;563,27;525,75;499,23;544,64;NA;NA;Grupo 4;75,8;83,93;90,6;6,3;3,1;De 61 a 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35023978;ALBERTO JOSE GONCALVES DOM;2;1;145;1;80;55,17;460,12;527,01;489,52;438,45;488,25;NA;NA;Grupo 4;64,1;82,50;76,0;15,4;8,6;Maior que 90 alunos
2015;35;SP;3525102;Jardinópolis;35023985;MARIO LINS DOUTOR;2;1;19;0;10;52,63;458,78;526,51;466,98;429,36;470,00;NA;NA;Grupo 3;58,7;70,00;100,0;0,0;0,0;De 1 a 30 alunos
2015;35;SP;3551504;Serrana;35023991;JOSE COSTA DEPUTADO;2;1;124;0;86;69,35;456,85;523,03;479,76;444,55;478,14;NA;NA;Grupo 4;76,9;67,44;91,1;4,1;4,8;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024016;FRANCISCO DA CUNHA JUNQUEIRA DOUTOR;2;1;65;0;33;50,77;455,42;545,31;505,38;477,23;511,52;NA;NA;Grupo 4;60,2;78,79;83,2;16,8;0,0;De 61 a 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024028;GUIMARAES JUNIOR DOUTOR;2;1;132;1;74;56,06;468,04;541,68;492,39;440,62;500,81;NA;NA;Grupo 4;71,7;68,92;90,2;5,7;4,1;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024077;SEBASTIAO FERNANDES PALMA PROFESSOR;2;1;143;5;97;67,83;473,55;560,61;514,87;462,58;516,39;NA;NA;Grupo 4;53,9;75,26;88,0;9,2;2,8;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024090;CID DE OLIVEIRA LEITE PROFESSOR;2;1;300;2;194;64,67;474,94;552,07;514,82;465,01;527,84;NA;NA;Grupo 5;77,4;71,13;85,0;9,9;5,1;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024107;JOSE MARTIMIANO DA SILVA ETEC;2;1;30;0;29;96,67;509,41;600,41;560,05;564,34;588,97;NA;NA;Grupo 4;50,0;100,00;98,2;1,8;0,0;De 1 a 30 alunos
2015;35;SP;3543402;Ribeirão Preto;35024119;OTONIEL MOTA;2;1;555;3;319;57,48;473,77;544,44;512,30;465,85;526,02;NA;NA;Grupo 4;81,1;66,14;74,3;17,8;7,9;Maior que 90 alunos
2015;35;SP;3543402;Ribeirão Preto;35024168;TOMAS ALBERTO WHATELLY DOUTOR;2;1;377;0;211;55,97;466,44;550,96;508,86;456,89;503,98;NA;NA;Grupo 4;74,3;71,09;68,4;29,1;2,5;Maior que 90 alunos
